报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),89032,27046,64506,6505,5711,6287,6413,8354,8344,8170,6015,
结算备付金(万元),--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,0,--,--,40,
衍生金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),9367,2433,1567,1434,71,220,284,27,306,--,0,
应收账款(万元),133200,109919,89971,74305,14194,19032,15360,15482,15132,15458,12566,
预付款项(万元),1570,1050,1115,683,707,307,1075,4039,2728,1355,700,
应收保费(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),--,16,53,--,7,3,10,4,--,2,8,
应收股利(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应收款(万元),868,1214,222,1460,1961,1784,1064,1664,1685,2252,1943,
应收出口退税(万元), --,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
存货(万元),20440,17065,12367,9916,18686,12778,10233,9224,8894,6247,7944,
待摊费用(万元),--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),21626,13033,28015,500,1125,1125,--,0,--,--,0,
流动资产合计(万元),276103,171777,197817,94803,42463,41536,34439,38794,37089,33483,29216,
发放贷款及垫款(万元),--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),3750,3750,3750,--,--,--,--,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,0,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
长期股权投资(万元),607,--,--,3750,835,834,841,750,719,748,615,
其他长期投资(万元),--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),--,--,--,--,23418,24229,25007,19503,19959,20374,20880,
