报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),527056,426005,310384,254830,24186,24587,27124,25279,25523,21750,21011,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
收到的税费返还(万元),--,--,--,--,--,--,--,--,--,0,5,
收到的其他与经营活动有关的现金(万元),18573,11238,9102,4869,2759,576,3753,88,216,890,46,
经营活动现金流入小计(万元),545629,437243,319486,259698,26945,25163,30877,25367,25739,22640,21062,
购买商品、接受劳务支付的现金(万元),70968,60362,33526,30570,17362,18083,19092,18902,18306,13213,15033,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
支付给职工以及为职工支付的现金(万元),49701,40351,33935,29871,2674,2377,2025,1702,1669,1921,1839,
支付的各项税费(万元),89540,70737,57772,46584,846,1049,1157,1157,982,827,850,
支付的其他与经营活动有关的现金(万元),244110,201245,132641,123957,3362,3613,3490,3115,2476,3008,2916,
经营活动现金流出小计(万元),454320,372696,257875,230982,24244,25122,25764,24875,23433,18968,20638,
经营活动产生的现金流量净额(万元),91310,64548,61611,28716,2701,41,5113,492,2305,3672,424,
收回投资所收到的现金(万元),75500,87000,107500,--,--,--,--,--,--,240,450,
取得投资收益所收到的现金(万元),844,1228,1032,207,--,--,--,--,80,102,9,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),633,36,39,122,26,151,259,18,0,0,33,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,
收到的其他与投资活动有关的现金(万元),4029,--,--,1049,--,--,--,--,--,0,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
投资活动现金流入小计(万元),81006,88264,108571,1377,26,151,259,18,80,342,492,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),32349,39598,30151,27010,4467,6074,7650,719,833,783,5183,
投资所支付的现金(万元),88100,72000,143400,500,--,--,98,--,--,200,490,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,
取得子公司及其他营业单位支付的现金净额(万元),--,18998,--,--,--,--,--,--,--,0,--,
支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
投资活动现金流出小计(万元),120449,130595,173551,27510,4467,6074,7748,719,833,983,5673,
投资活动产生的现金流量净额(万元),-39443,-42332,-64980,-26133,-4441,-5923,-7489,-701,-753,-641,-5181,
吸收投资收到的现金(万元),64226,--,64076,--,--,--,--,--,--,0,--,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
取得借款收到的现金(万元),7500,31000,46900,48000,22752,29142,18942,16050,14550,16600,17792,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,
收到其他与筹资活动有关的现金(万元),--,--,--,--,84,188,1460,101,120,276,287,
筹资活动现金流入小计(万元),71726,31000,110976,48000,22836,29330,20402,16151,14670,16876,18079,
偿还债务支付的现金(万元),7500,59000,44900,45300,20522,22112,18492,14558,14600,16650,13652,
分配股利、利润或偿付利息所支付的现金(万元),54699,31483,4232,1568,1364,1230,1301,1232,1379,1082,1238,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,0,--,
支付其他与筹资活动有关的现金(万元),1383,110,557,--,98,232,174,142,69,21,11,
筹资活动现金流出小计(万元),63582,90593,49689,46868,21983,23575,19967,15932,16048,17753,14901,
筹资活动产生的现金流量净额(万元),8144,-59593,61287,1132,853,5755,435,219,-1378,-877,3178,
汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,0,--,
现金及现金等价物净增加额(万元),60011,-37377,57918,3716,-887,-126,-1941,10,175,2154,-1579,
加:期初现金及现金等价物余额(万元),27046,64423,6505,2789,4787,6413,8354,8344,8170,6015,7594,
期末现金及现金等价物余额(万元),87057,27046,64423,6505,3900,6287,6413,8354,8344,8170,6015,
净利润(万元),93436,68312,51939,40272,-3464,794,848,773,842,1088,974,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,2,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,
资产减值准备(万元),1265,1221,859,865,701,209,131,230,153,368,281,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),9844,8988,7663,5820,2274,2189,1975,1727,1694,1628,1259,
无形资产摊销(万元),1897,1870,469,251,80,80,80,71,71,71,194,
长期待摊费用摊销(万元),61,358,451,647,--,--,--,--,--,0,--,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,--,
处置固定资产、无形资产和其他长期资产的损失(万元),27,92,115,57,-151,-160,-24,8,0,19,-2,
固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,0,--,
公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,0,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,0,--,
财务费用(万元),11,225,412,1368,1237,1209,1303,1157,1035,887,625,
投资损失(万元),-851,-1228,-1032,-207,-0,6,7,-30,-52,-235,-12,
递延所得税资产减少(万元),-557,-213,-467,-136,-67,-34,-8,-30,104,2,-79,
递延所得税负债增加(万元),149,8,132,--,--,--,--,--,0,0,--,
存货的减少(万元),-3375,-3703,-2452,131,-6397,-2619,-1015,-330,-2667,1697,673,
经营性应收项目的减少(万元),-35315,-30435,-14266,-18615,4181,-2863,826,-1336,24,-4137,-4483,
经营性应付项目的增加(万元),25211,19305,18038,-1148,4181,1230,988,-1748,1101,2281,995,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,--,
其他(万元),-495,-251,-251,-589,127,--,--,--,--,0,--,
经营活动产生现金流量净额(万元),91310,64548,61611,28716,2701,41,5113,492,2305,3672,424,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,--,
现金的期末余额(万元),87057,27046,64423,6505,3900,6287,6413,8354,8344,8170,6015,
现金的期初余额(万元),27046,64423,6505,2789,4787,6413,8354,8344,8170,6015,7594,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,--,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,--,
现金及现金等价物的净增加额(万元),60011,-37377,57918,3716,-887,-126,-1941,10,175,2154,-1579,
