报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),467789,376784,298641,244758,16002,24047,23714,22202,21299,21855,21165,
营业成本(万元),69045,59003,46894,36970,12375,16698,16977,15789,15470,16074,14273,
营业利润(万元),105642,75562,56448,41459,-3696,478,738,643,875,1047,1376,
利润总额(万元),108797,79957,60465,46487,-3511,828,873,780,906,1682,1396,
所得税费用(万元),15361,11645,8525,6214,-47,34,25,7,64,592,423,
净利润(万元),93436,68312,51939,40272,-3464,794,848,773,842,1090,974,
基本每股收益,1.17,0.88,0.67,0.66,-0.25,0.06,0.06,0.07,0.08,0.1,0.09,
货币资金(万元),89032,27046,64506,6505,5711,6287,6413,8354,8344,8170,6015,
应收账款(万元),133200,109919,89971,74305,14194,19032,15360,15482,15132,15458,12566,
存货(万元),20440,17065,12367,9916,18686,12778,10233,9224,8894,6247,7944,
流动资产合计(万元),276103,171777,197817,94803,42463,41536,34439,38794,37089,33483,29216,
固定资产净额(万元),143178,88699,89354,78834,19070,17482,17378,16055,17180,17001,16175,
资产总计(万元),498761,358542,335772,201445,99287,96182,86316,83622,82961,80232,78968,
流动负债合计(万元),123437,84026,103559,83351,37942,32608,32889,29337,27343,25349,25069,
非流动负债合计(万元),6573,3233,2813,2853,12265,10892,1400,3000,5000,5000,5000,
负债合计(万元),130010,87259,106372,86204,50207,43500,34289,32337,32343,30349,30069,
所有者权益(或股东权益)合计(万元),368751,271283,229399,115241,49080,52682,52027,51285,50618,49883,48899,
期初现金及现金等价物余额(万元),27046,64423,6505,2789,4787,6413,8354,8344,8170,6015,7594,
经营活动产生的现金流量净额(万元),91310,64548,61611,28716,2701,41,5113,492,2305,3672,424,
投资活动产生的现金流量净额(万元),-39443,-42332,-64980,-26133,-4441,-5923,-7489,-701,-753,-641,-5181,
筹资活动产生的现金流量净额(万元),8144,-59593,61287,1132,853,5755,435,219,-1378,-877,3178,
现金及现金等价物净增加额(万元),60011,-37377,57918,3716,-887,-126,-1941,10,175,2154,-1579,
期末现金及现金等价物余额(万元),87057,27046,64423,6505,3900,6287,6413,8354,8344,8170,6015,
