报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),467789,376784,298641,244758,16002,24047,23714,22202,21299,21855,21165,
营业收入(万元),467789,376784,298641,244758,16002,24047,23714,22202,21299,21855,21165,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),362998,302449,243225,203506,19699,23563,22969,21590,20475,21043,19801,
营业成本(万元),69045,59003,46894,36970,12375,16698,16977,15789,15470,16074,14273,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),9038,6403,5168,4201,70,155,146,169,148,195,195,
销售费用(万元),250692,204490,164598,138337,1838,2084,1804,1707,1534,1283,2119,
管理费用(万元),33844,31789,26016,21855,3478,3208,2607,2538,2136,2235,2308,
财务费用(万元),-887,-457,-311,1277,1237,1209,1303,1157,1035,887,625,
资产减值损失(万元),1265,1221,859,865,701,209,131,230,153,368,281,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),851,1228,1032,207,0,-6,-7,30,52,235,12,
对联营企业和合营企业的投资收益(万元),7,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),105642,75562,56448,41459,-3696,478,738,643,875,1047,1376,
营业外收入(万元),3838,4494,4199,5162,196,372,270,183,98,663,58,
营业外支出(万元),683,100,182,134,11,22,135,45,67,29,38,
非流动资产处置损失(万元),111,96,131,73,--,--,--,--,--,--,--,
利润总额(万元),108797,79957,60465,46487,-3511,828,873,780,906,1682,1396,
所得税费用(万元),15361,11645,8525,6214,-47,34,25,7,64,592,423,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),93436,68312,51939,40272,-3464,794,848,773,842,1090,974,
归属于母公司所有者的净利润(万元),93418,68657,51939,40272,-3465,792,846,771,838,1088,973,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),18,-345,--,--,1,2,2,2,4,2,1,
基本每股收益,1.17,0.88,0.67,0.66,-0.25,0.06,0.06,0.07,0.08,0.1,0.09,
稀释每股收益,1.17,0.88,0.67,0.66,-0.25,0.06,0.06,0.07,0.08,0.1,0.09,
