报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
应收账款周转率(次),2.76,3.32,5.54,4.46,4.92,4.92,7.82,10.97,12.47,
应收账款周转天数(天),130.42,108.52,65,80.8,73.17,73.23,46.03,32.8,28.88,
存货周转率(次),1.51,1.21,1.93,2.21,3.01,2.74,3.54,2.34,1.89,
固定资产周转率(次),2.96,1.98,3.61,7.71,23.18,18.77,20.17,31.25,0.86,
总资产周转率(次),0.47,0.4,0.51,0.43,0.51,0.59,1.14,0.92,0.86,
存货周转天数(天),238.22,296.59,186.75,163.12,119.7,131.31,101.64,153.91,190.68,
总资产周转天数(天),773.2,896.41,701.62,828.54,700.66,614.75,316.21,389.95,417.05,
流动资产周转率(次),0.69,0.56,0.66,0.51,0.57,0.64,1.25,0.99,92.39,
流动资产周转天数(天),522.19,639.55,545.45,711.32,636.83,565.5,288.95,365.07,3.9,
经营现金净流量对销售收入比率(%),0.33,-0.19,0.05,0.2,0.19,0.03,0.11,0.23,0.22,
资产的经营现金流量回报率(%),0.12,-0.08,0.02,0.08,0.09,0.01,0.11,0.2,0.19,
经营现金净流量与净利润的比率(%),1.75,-2.6,0.27,1.15,1.11,0.23,0.49,1.06,1.18,
经营现金净流量对负债比率(%),0.42,-0.52,0.13,0.51,0.6,0.11,0.36,0.52,0.38,
现金流量比率(%),42.97,-55.74,13.58,55.91,62.06,11.17,37.64,57.48,38.98,</tr>
