报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),45708,29317,36705,28020,30451,23017,22197,15284,13857,
营业收入(万元),45708,29317,36705,28020,30451,23017,22197,15284,13857,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),37525,28462,29376,23023,24653,19674,17070,11743,10880,
营业成本(万元),20400,15047,17803,13487,16954,12963,12274,8196,7212,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),505,208,285,313,306,303,109,70,78,
销售费用(万元),7898,6298,5049,4216,4034,3335,2278,1743,1807,
管理费用(万元),9291,7098,6868,5689,4112,3518,2306,1813,1842,
财务费用(万元),-1523,-622,-1028,-885,-1029,-549,-72,-79,-57,
资产减值损失(万元),954,435,399,203,277,103,174,-1,-2,
公允价值变动收益(万元),--,--,--,--,--,--,0,107,-297,
投资收益(万元),1122,437,--,--,--,--,0,-82,-11,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),9305,1291,7329,4997,5799,3343,5127,3567,2669,
营业外收入(万元),883,757,486,535,289,648,468,237,256,
营业外支出(万元),80,16,32,13,13,2,6,15,7,
非流动资产处置损失(万元),55,5,26,9,6,--,0,0,0,
利润总额(万元),10108,2033,7783,5519,6076,3989,5589,3789,2917,
所得税费用(万元),1382,-131,878,706,890,633,762,525,386,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),8726,2164,6905,4813,5186,3356,4827,3264,2531,
归属于母公司所有者的净利润(万元),8628,2142,6731,4813,5186,3356,4827,3264,2531,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),98,22,174,--,--,--,0,0,-0,
基本每股收益,0.23,0.06,0.3,0.44,0.47,0.46,0.77,0.52,0.4,
稀释每股收益,0.23,0.06,0.3,0.44,0.47,0.46,0.77,0.52,0.4,
