报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),49944,28907,35289,33007,32214,24029,21377,14861,16206,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),2128,2122,2561,1808,1351,1647,338,322,413,
收到的其他与经营活动有关的现金(万元),950,556,1608,1904,655,462,180,607,193,
经营活动现金流入小计(万元),53022,31585,39459,36719,34219,26137,21896,15791,16812,
购买商品、接受劳务支付的现金(万元),19437,17038,20609,16477,16871,15436,13218,7522,8388,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),10540,11090,8182,6406,5014,3883,2417,1828,1619,
支付的各项税费(万元),2424,2998,3705,3842,3108,2430,1336,912,879,
支付的其他与经营活动有关的现金(万元),5376,6094,5118,4450,3463,3603,2549,2065,2942,
经营活动现金流出小计(万元),37777,37221,37615,31175,28455,25351,19519,12328,13828,
