报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),187309,122285,198324,359789,380537,244090,85337,61724,33068,37480,41924,
结算备付金(万元),--,--,--,--,--,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,0,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,0,0,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,0,0,--,--,0,
应收票据(万元),99837,119018,79313,34282,30915,22075,13006,4553,4304,2249,400,
应收账款(万元),1784914,1664210,1484252,1107381,754230,416315,235924,138274,119870,99132,61580,
预付款项(万元),17533,9523,12754,14926,11356,10770,2748,2201,1785,2101,2529,
应收保费(万元),--,--,--,--,--,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,0,0,--,--,0,
应收利息(万元),1065,1514,2799,1142,368,152,136,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,0,0,--,--,0,
其他应收款(万元),30685,29728,35637,27273,19555,12022,9663,6365,3739,2913,2114,
应收出口退税(万元), --,--,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,0,0,--,--,0,
存货(万元),19477,15487,10651,8386,6399,5113,3529,3044,2445,1795,82274,
待摊费用(万元),--,--,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,0,0,--,--,0,
其他流动资产(万元),66127,111590,134400,72500,--,--,0,11000,--,--,0,
流动资产合计(万元),2206947,2073356,1958129,1625681,1203359,710537,350343,227161,165212,145670,190821,
发放贷款及垫款(万元),--,--,--,--,--,--,0,0,--,--,0,
可供出售金融资产(万元),270662,211862,31262,--,--,--,0,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,0,0,--,--,0,
长期应收款(万元),--,--,--,--,--,--,0,0,--,--,0,
长期股权投资(万元),72,--,23,6287,987,974,974,974,484,484,15,
其他长期投资(万元),--,--,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),192,216,232,658,692,464,488,690,663,686,709,
固定资产原值(万元),136671,143044,123300,76613,76871,52897,45504,41531,16362,12190,10496,
累计折旧(万元),36191,32184,25675,19798,18664,11541,8675,5906,4711,3844,3058,
固定资产净值(万元),100480,110860,97626,56815,58207,41356,36829,35625,11651,8346,7439,
固定资产减值准备(万元),63,64,93,94,95,102,104,105,116,116,116,
固定资产(万元),100417,110796,97532,56721,58112,41254,36726,35521,11535,8230,7323,
在建工程(万元),1447,1320,6557,30862,11590,2092,2846,749,10906,960,372,
工程物资(万元),--,--,--,--,--,--,0,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,0,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,0,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,0,0,--,--,0,
无形资产(万元),9102,8978,9093,9286,9414,7840,7983,6745,5499,5652,736,
开发支出(万元),--,--,--,--,--,--,0,0,--,--,0,
商誉(万元),40776,38170,40702,35838,36947,--,0,0,--,--,0,
长期待摊费用(万元),12699,3324,3317,1315,962,--,0,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,0,0,--,--,0,
递延所得税资产(万元),36916,29522,23407,18114,12550,7375,6709,4263,3237,1785,1807,
其他非流动资产(万元),3020,2945,525,502,396,--,0,0,--,--,0,
非流动资产合计(万元),475304,407133,212650,159582,131651,60000,55726,48942,32324,17797,10963,
资产总计(万元),2682252,2480489,2170780,1785263,1335010,770537,406069,276103,197536,163467,201783,
短期借款(万元),116009,107749,2000,1524,--,--,0,0,--,--,2300,
向中央银行借款(万元),--,--,--,--,--,--,0,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,0,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,0,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,0,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,0,0,--,--,0,
应付票据(万元),63015,73907,33748,17470,13888,7460,3855,0,1100,--,500,
应付账款(万元),1169807,1113359,1073787,886565,613820,358275,202627,126068,88063,66015,51590,
预收账款(万元),38940,23065,27376,46503,53503,37217,40910,33028,17731,19143,84953,
卖出回购金融资产款(万元),50000,57705,--,--,--,--,0,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,0,0,--,--,0,
应付职工薪酬(万元),95150,98291,105710,90845,66273,36403,18991,12203,9388,8545,5756,
应交税费(万元),20340,64635,70875,58779,39938,17131,14258,10287,7866,8177,3575,
应付利息(万元),712,739,670,694,676,--,0,0,--,--,0,
应付股利(万元),--,4654,420,420,485,--,0,0,--,14,0,
其他应交款(万元),--,--,--,--,--,--,0,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,0,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,0,0,--,--,0,
其他应付款(万元),8182,5904,3469,2216,1269,1391,599,524,588,1613,745,
预提费用(万元),--,--,--,--,--,--,0,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,0,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,0,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,0,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,0,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,0,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,0,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,0,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,0,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动负债(万元),53468,--,44347,1508,1822,--,0,0,--,--,0,
其他流动负债(万元),51020,1200,2323,2374,1059,--,0,0,--,3,0,
流动负债合计(万元),1666643,1551208,1364725,1108899,792733,457877,281240,182110,124737,103511,149420,
长期借款(万元),1041,4221,3060,42678,46514,--,0,0,--,--,0,
应付债券(万元),--,50000,70000,70000,70000,--,0,0,--,--,0,
长期应付款(万元),--,--,--,1508,3110,--,0,0,--,--,0,
专项应付款(万元),--,--,--,--,45,--,0,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,0,0,--,--,0,
长期递延收益(万元),36,48,12,--,--,--,0,0,--,--,--,
递延所得税负债(万元),348,379,385,279,1248,256,437,439,448,174,0,
其他非流动负债(万元),--,--,--,40,--,--,0,0,--,--,0,
非流动负债合计(万元),1424,54648,73457,114505,120917,256,437,439,448,174,0,
负债合计(万元),1668067,1605856,1438182,1223404,913650,458132,281678,182549,125185,103685,149420,
实收资本(或股本)(万元),264331,176221,176221,117480,78147,51825,31919,21280,14100,9400,9400,
资本公积(万元),15883,15883,15883,74623,113870,137756,18117,17964,22066,26685,26685,
减:库存股(万元),--,--,--,--,--,--,0,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,0,0,--,--,--,
盈余公积(万元),82816,68128,55129,39062,25924,16617,10145,6356,4474,3153,2347,
一般风险准备(万元),--,--,--,--,--,--,0,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,0,0,--,--,0,
未分配利润(万元),632531,601792,472179,324016,196444,104973,60511,44587,29267,18632,12277,
拟分配现金股利(万元),--,--,--,--,--,--,0,0,--,--,0,
外币报表折算差额(万元),--,--,--,-893,30,--,0,0,--,--,0,
归属于母公司股东权益合计(万元),996884,861698,717704,554288,414416,311171,120692,90186,69906,57870,50708,
少数股东权益(万元),17300,12935,14894,7571,6944,1234,3700,3368,2444,1912,1656,
所有者权益(或股东权益)合计(万元),1014184,874633,732598,561860,421360,312404,124391,93554,72350,59782,52364,
负债和所有者权益(或股东权益)总计(万元),2682252,2480489,2170780,1785263,1335010,770537,406069,276103,197536,163467,201783,
