报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),109147,59178,24532,17501,50254,82350,37983,18157,17622,
营业成本(万元),66722,32795,14895,8791,22765,39202,16942,7569,9058,
营业利润(万元),19105,10738,5924,3879,19377,31362,15482,5777,6986,
利润总额(万元),21845,12304,6944,5090,20191,37532,16911,6640,8264,
所得税费用(万元),3445,983,513,794,2829,4882,4243,616,276,
净利润(万元),18400,11321,6431,4297,17362,32651,12667,6024,7987,
基本每股收益,0.23,0.12,0.16,0.16,1.42,3.27,1.27,0.6,0.8,
货币资金(万元),101259,25229,72383,98826,104809,12992,10116,3404,2307,
应收账款(万元),58007,29647,6917,19562,25676,22844,8495,4899,3602,
存货(万元),34662,37550,24127,20941,21630,38798,16647,4343,4737,
流动资产合计(万元),303138,126246,130974,162954,169722,84681,39474,14473,11659,
固定资产净额(万元),62075,40442,11595,7531,8006,8142,7092,6347,4651,
资产总计(万元),413114,236284,189384,181788,184918,100261,50580,24508,19981,
流动负债合计(万元),61780,37213,12593,12082,16998,46587,29557,9652,10603,
非流动负债合计(万元),6764,6005,320,0,0,0,0,0,46,
负债合计(万元),68544,43218,12913,12082,16998,46587,29557,9652,10649,
所有者权益(或股东权益)合计(万元),344570,193066,176471,169707,167920,53674,21023,14856,9332,
期初现金及现金等价物余额(万元),23427,72220,97683,104809,12022,9018,3275,2079,215,
经营活动产生的现金流量净额(万元),-6614,-9402,13377,10463,-2872,9102,12900,4978,7997,
投资活动产生的现金流量净额(万元),-48378,-38472,-39173,-15078,-1226,-3513,-1920,-2160,-7782,
筹资活动产生的现金流量净额(万元),131532,-919,333,-2511,96885,-2584,-5237,-1622,1649,
现金及现金等价物净增加额(万元),76540,-48793,-25463,-7126,92787,3004,5743,1196,1864,
期末现金及现金等价物余额(万元),99967,23427,72220,97683,104809,12022,9018,3275,2079,
