报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),1312234,1044859,856336,729746,612301,490153,389895,308751,256156,188766,167557,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,0,--,0,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,0,--,0,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
收到的税费返还(万元),--,--,--,--,--,--,150,0,--,0,--,
收到的其他与经营活动有关的现金(万元),13841,15370,17982,9959,6100,5371,5083,2381,1384,1876,535,
经营活动现金流入小计(万元),1326075,1060229,874318,739705,618401,495524,395128,311131,257540,190642,168092,
购买商品、接受劳务支付的现金(万元),151887,119443,121122,96816,95655,94673,61523,42132,56762,17286,27296,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
支付给职工以及为职工支付的现金(万元),140405,108597,86506,76418,55378,34213,27936,18700,17173,11036,7863,
支付的各项税费(万元),206275,173900,139390,119268,106992,77755,69770,54854,50478,40007,31719,
支付的其他与经营活动有关的现金(万元),568245,430559,369869,310707,264540,236147,197304,151535,121381,100425,74597,
经营活动现金流出小计(万元),1066812,832500,716887,603209,522564,442788,356533,267220,245794,168755,141475,
经营活动产生的现金流量净额(万元),259263,227729,157431,136496,95837,52736,38595,43912,11746,21887,26618,
收回投资所收到的现金(万元),--,15113,--,--,--,3731,18400,19485,3867,0,--,
取得投资收益所收到的现金(万元),366,25,20,20,20,49,97,476,2030,3885,1815,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),61,13,14,60,44,29,13,70,94,114,84,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,386,--,0,--,0,--,
收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,0,--,1775,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
投资活动现金流入小计(万元),427,15150,34,81,64,4195,18510,20032,5990,5774,1899,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),111100,39409,29852,45330,46683,54027,28673,14165,11121,6685,8629,
投资所支付的现金(万元),154286,22759,--,--,--,--,3650,13400,14879,15792,1097,
质押贷款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,80,--,--,0,--,0,--,
支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
投资活动现金流出小计(万元),265386,62168,29852,45330,46763,54027,32323,27565,26000,22477,9726,
投资活动产生的现金流量净额(万元),-264959,-47018,-29818,-45249,-46699,-49832,-13813,-7533,-20010,-16703,-7827,
吸收投资收到的现金(万元),1421,1852,13606,1630,--,--,9210,0,--,0,--,
其中：子公司吸收少数股东投资收到的现金(万元),1421,1852,0,1630,--,--,--,0,--,0,--,
取得借款收到的现金(万元),--,--,--,1000,--,--,1000,1000,--,6000,--,
发行债券收到的现金(万元),--,--,--,--,--,--,--,0,--,0,--,
收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,0,--,0,581,
筹资活动现金流入小计(万元),1421,1852,13606,2630,0,0,10210,1000,--,6000,581,
