报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1109372,931596,745225,620307,543507,455039,374411,302896,239256,195966,143661,
营业收入(万元),1109372,931596,745225,620307,543507,455039,374411,302896,239256,195966,143661,
利息收入(万元),--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,0,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,0,--,--,--,--,
营业总成本(万元),808414,675457,568001,475220,413506,351916,289986,233215,178347,159286,116501,
营业成本(万元),143463,137167,131322,115808,87040,78414,60550,52385,40087,33037,27949,
利息支出(万元),--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,0,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,0,--,--,--,--,
退保金(万元),--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,0,--,--,--,--,
营业税金及附加(万元),20266,15564,13271,10625,9508,6868,5612,4522,3771,3117,2261,
销售费用(万元),435162,352498,284424,235479,233964,191197,160468,134550,96544,79809,56256,
管理费用(万元),226635,184343,146353,115560,89189,75765,62139,43572,34197,40623,29986,
财务费用(万元),-16594,-14835,-8058,-2505,-1647,-1415,-1095,-834,467,390,-53,
资产减值损失(万元),-519,720,689,252,-4547,1087,2312,-981,3282,2309,103,
公允价值变动收益(万元),--,--,--,--,--,--,0,8546,-18115,10200,--,
投资收益(万元),1475,-252,20,20,20,116,97,-1055,2176,3885,1815,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,0,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,0,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,0,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,0,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,0,--,--,--,--,
营业利润(万元),302433,255887,177245,145107,130020,103240,84521,77172,44971,50764,28975,
营业外收入(万元),3172,2775,4109,3407,4743,3315,1709,911,2518,462,35,
营业外支出(万元),4287,2465,1389,661,114,50,210,15,486,80,80,
非流动资产处置损失(万元),182,628,32,398,27,--,0,--,--,--,--,
利润总额(万元),301318,256197,179965,147853,134650,106505,86021,78069,47002,51146,28930,
所得税费用(万元),37899,33800,22672,18648,19509,12464,10477,8739,3443,9293,8407,
未确认投资损失(万元),--,--,--,--,--,--,0,--,--,--,--,
净利润(万元),263419,222397,157293,129205,115141,94041,75544,69330,43559,41853,20522,
归属于母公司所有者的净利润(万元),258895,217157,151557,123811,107738,87661,72417,66573,42295,41292,20697,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),4524,5240,5736,5394,7402,6379,3126,2757,1265,561,-175,
基本每股收益,1.1,1.11,1.01,0.91,0.87,0.78,0.97,1.07,0.82,0.96,0.48,
稀释每股收益,1.1,1.11,1.01,0.91,0.87,0.78,0.97,1.07,0.82,0.96,0.48,
